ID,region,county,lat,long,condition_rate,inspection_date,bridge_length_ft,curb_to_curb_width_ft,deck_area_sq_ft,aadt,year_of_aadt,material,structure,year,popz
14566,2,#N/A,43.05703399,-75.51568898,7,43068,71,24,1938,-0.4,2008,6,7,1940,-0.3
14567,1,#N/A,43.13481698,-73.35561598,4.73,43334,109,13.3,1635,-0.4,2014,8,11,1874,-0.6
14568,9,#N/A,41.69310802,-74.75229897,5.42,42970,52,26.3,1472,-0.4,2017,6,6,2003,-0.6
14569,5,#N/A,43.06577596,-78.56999403,6,42877,24,0,1518,-0.4,2016,2,19,2011,0.9
14570,6,#N/A,42.05998998,-76.60981206,6.09,42822,36,25.5,1019,-0.4,2013,6,6,1934,-0.6
14571,5,#N/A,43.07183202,-78.57005097,7,43333,22.5,30,887,-0.4,2016,2,19,2012,0.9
14572,5,#N/A,42.58223903,-78.64408399,6.08,43221,62,32,2294,-0.4,2011,11,3,1970,0.9
14573,6,#N/A,42.17841201,-77.36345801,6.81,42940,179,27.6,5513,-0.4,2015,12,3,2005,-0.5
14574,6,#N/A,42.29121304,-77.04926304,6.91,42828,62,23.6,1575,-0.4,2016,8,5,1996,-0.7
14575,9,#N/A,42.47223603,-75.32386103,5.19,43361,34,15.2,544,-0.4,2017,4,3,1880,-0.6
14576,3,#N/A,42.42340626,-75.94849414,4.42,43032,159,12,2147,-0.4,2014,4,13,1891,-0.6
14577,2,#N/A,43.12780065,-75.6725562,5.25,43327,34,29.7,1112,-0.4,2014,4,3,1925,-0.3
14578,5,#N/A,42.136973,-78.77666602,5.38,43399,185,24,5421,-0.4,2013,4,3,1967,-0.6
14579,3,#N/A,43.63619597,-76.12853193,7,43066,44,28.9,1316,-0.4,2015,4,3,2015,-0.5
14580,1,#N/A,42.97589499,-73.92506702,4.84,43278,29,26.7,900,-0.4,2017,4,3,1949,-0.3
14581,1,#N/A,42.556942,-73.90994404,5.27,42845,50,12,700,-0.4,2014,4,11,1886,-0.2
14582,9,#N/A,42.37435001,-74.51093603,4.52,43010,31,16,499,-0.4,2016,4,3,1977,-0.6
14583,9,#N/A,42.05939601,-76.31322903,5.79,42950,48,24,1210,-0.4,2017,8,3,1986,-0.6
14584,3,#N/A,42.65663399,-76.00488797,5.95,43222,27,19.9,600,-0.4,2013,4,3,1970,-0.6
14585,9,#N/A,42.628257,-74.56555695,4.9,43222,25,34,930,-0.4,2014,4,3,1906,-0.7
14586,8,#N/A,41.28754399,-73.55714903,4.21,42828,22,18.2,425,-0.4,2017,8,2,1930,1
14587,9,#N/A,42.01456803,-75.79566397,7,43333,57,0,3216,-0.4,2014,4,19,1974,-0.4
14588,9,#N/A,41.97518399,-75.21072902,6,42914,27,0,1908,-0.4,2017,3,19,1957,-0.6
14589,1,#N/A,42.96822696,-73.38295595,4.8,42936,58,13.8,928,-0.4,2013,11,3,1954,-0.6
14590,5,#N/A,42.25402899,-79.04580194,6.36,43333,40,25,1040,-0.4,2013,4,3,1984,-0.6
14591,9,#N/A,41.92635101,-74.87523304,5.9,43418,145,24,3553,-0.4,2009,11,11,1986,-0.6
14592,8,#N/A,42.16060601,-73.73643803,3.56,42997,67,25.9,1910,-0.4,2016,4,3,1953,-0.6
14593,5,#N/A,42.36306804,-78.62484899,6.47,43200,37,31,1221,-0.4,2017,6,6,1998,-0.6
14594,4,#N/A,43.35409903,-78.280099,6.53,43238,75,22,1800,-0.4,2017,6,7,1938,-0.6
14595,8,#N/A,41.91472701,-73.51481401,5.13,43179,52,24,1292,-0.4,2015,6,6,2001,-0.2
14596,8,#N/A,41.90628699,-73.52056501,6,43014,24.75,30,804,-0.4,2015,2,19,2002,-0.2
14597,7,#N/A,43.82388903,-75.65315206,6.32,43382,38,17.8,700,-0.4,2012,4,3,1968,-0.7
14598,4,#N/A,42.94517701,-78.09672804,6,43382,32,30.4,1040,-0.4,2017,2,19,1990,-0.6
14599,5,#N/A,42.24151003,-79.04574598,6.17,43340,37,26.2,1043,-0.4,2013,4,3,1992,-0.6
14600,9,#N/A,41.52284396,-74.94268904,4.59,43313,26,14.5,411,-0.4,2014,8,3,1930,-0.6
14601,9,#N/A,42.856405,-74.98542705,6.52,43150,48,19.2,974,-0.4,2004,6,6,2018,-0.6
14602,6,#N/A,42.49738996,-77.37693398,5,43017,26,27.7,785,-0.4,2013,8,2,1977,-0.5
14603,5,#N/A,42.27672396,-79.706777,4.82,42913,285,26,9405,-0.4,2012,4,3,1955,-0.5
14604,6,#N/A,42.24417299,-77.17434199,6.33,42817,38,26.6,1072,-0.4,2010,6,6,1997,-0.5
14605,1,#N/A,42.96387701,-73.30311705,5.91,43227,50,24,1350,-0.4,2017,4,3,1943,-0.6
14606,8,#N/A,42.46292597,-73.40557306,4.52,43012,40,24,1080,-0.4,2016,4,3,1939,-0.6
14607,9,#N/A,41.56132696,-74.48454802,5.4,43238,36,15,583,-0.4,2014,8,3,1992,-0.6
14608,6,#N/A,42.49151198,-77.38139603,4.59,43026,40,28.9,1200,-0.4,2013,4,3,1976,-0.5
14609,5,#N/A,42.249704,-78.79542398,6.71,42971,45,26,1301,-0.4,2013,6,6,1997,-0.6
14610,6,#N/A,42.17353498,-76.70797205,5.57,43320,40,15.8,640,-0.4,2010,4,3,1934,-0.6
14611,7,#N/A,43.87205303,-75.84250702,6.91,43004,71,23.6,1910,-0.4,2015,11,3,2001,-0.5
14612,7,#N/A,43.86989902,-75.846122,6.62,42989,99,23.6,2663,-0.4,2015,11,3,2001,-0.5
14613,3,#N/A,42.972109,-76.81685206,5.42,43390,235,26,7755,-0.4,2014,4,3,1953,-0.6
14614,6,#N/A,42.10643896,-77.33962697,6.71,43053,60,26.9,1716,-0.4,2017,6,6,2011,-0.5
14615,6,#N/A,42.43238904,-77.77342698,6.63,43286,40,23.4,1020,-0.4,2010,4,3,1992,-0.6
14616,6,#N/A,42.40814099,-77.76987605,7,43391,37,24,962,-0.4,2010,8,2,2000,-0.6
14617,2,#N/A,42.938198,-74.11004904,5.77,42856,29,26,862,-0.4,2017,9,12,1900,-0.6
14618,9,#N/A,42.09152298,-76.22418201,6,43349,44,34,1641,-0.4,2014,2,19,2014,-0.6
14619,9,#N/A,42.09213802,-76.22845405,5.52,42852,52,24,1378,-0.4,2014,4,3,1983,-0.6
14620,8,#N/A,42.360124,-73.633586,5.58,43348,92,20,2106,-0.4,2016,6,6,1990,-0.6
14621,5,#N/A,42.31230497,-78.46674303,6.9,42849,36,31,1188,-0.4,2016,6,6,1997,-0.6
14622,1,#N/A,42.51275601,-73.80843499,5.91,42845,77,22.9,2000,-0.4,2014,6,5,1975,-0.2
14623,1,#N/A,42.52381399,-73.80693699,6.32,42977,426,29.4,13930,-0.4,2014,5,3,2011,-0.2
14624,1,#N/A,42.50881502,-73.81494602,6.55,42950,201,23.6,5403,-0.4,2014,11,3,2005,-0.2
14625,8,#N/A,41.29525555,-74.24080117,5.3,43369,44,27.5,1373,-0.4,2015,4,3,1968,-0.1
14626,6,#N/A,42.20545304,-76.81003395,6.09,43342,30,24.1,783,-0.4,2010,8,2,1966,-0.6
14627,9,#N/A,41.97306198,-75.09577798,7,42933,54,24,1350,-0.4,2017,4,3,2009,-0.6
14628,6,#N/A,42.08032503,-77.86647799,6.03,43339,33,23.4,848,-0.4,2012,8,2,1988,-0.6
14629,3,#N/A,43.28437803,-76.71066505,7,43418,39,26,1065,-0.4,2015,8,2,1998,-0.6
14630,2,#N/A,43.32849943,-75.18630059,5.48,43283,62,22.2,1767,-0.4,2014,6,6,1961,-0.3
14631,1,#N/A,43.36000904,-73.42202104,6.13,42866,30,22,759,-0.4,2017,4,3,2007,-0.6
14632,1,#N/A,43.14518104,-73.39774996,5.56,43341,203,26,5628,-0.4,2013,11,3,1930,-0.6
14633,1,#N/A,42.30505101,-74.33130696,6.34,43382,70,23,1750,-0.4,2015,6,6,1998,-0.6
14634,4,#N/A,43.25889496,-78.35902506,7,43423,35,28.1,1099,-0.4,2017,2,19,2016,-0.6
14635,8,#N/A,42.01180689,-73.74327873,3.19,42572,55,14,1400,-0.4,2014,4,4,1932,-0.2
14636,8,#N/A,42.01005103,-73.74578495,6.81,42823,37,26.2,999,-0.4,2014,2,8,2006,-0.2
14637,7,#N/A,44.49541401,-75.06557998,6.73,42859,29,23.4,757,-0.4,2015,4,3,1959,-0.5
14638,8,#N/A,41.79576703,-74.29155001,2.92,43265,50,19,1000,-0.4,2013,4,3,1988,-0.4
14639,3,#N/A,42.89061302,-75.90950894,5.59,43186,41,26.3,1157,-0.4,2017,4,3,1931,0.1
14640,2,#N/A,42.99113501,-75.42020706,6.65,43342,72,23.6,2009,-0.4,2011,4,3,2002,-0.3
14641,8,#N/A,41.81727798,-73.96495999,3.04,42584,51,25.1,1600,-0.4,2013,2,12,1925,-0.4
14642,3,#N/A,42.52330904,-75.98703496,6.29,43236,49,30,1568,-0.4,2008,4,3,2000,-0.6
14643,4,#N/A,42.62913697,-77.87038301,5.25,42928,100,25.2,2800,-0.4,2016,4,4,1962,-0.6
14644,4,#N/A,43.35182199,-78.16045499,6.36,43423,155,23.6,4169,-0.4,2016,11,3,2002,-0.6
14645,8,#N/A,41.77318169,-74.40050304,4.07,43270,100,18,1900,-0.4,2013,4,11,1931,-0.4
14646,8,#N/A,41.78942802,-74.27272098,4.26,43319,35,21,767,-0.4,2013,11,3,1962,-0.4
14647,5,#N/A,42.14932403,-78.50842106,7,43036,62,26.3,1798,-0.4,2017,6,6,2005,-0.6
14648,9,#N/A,42.66659701,-75.14483304,5.69,42936,40,15.6,724,-0.4,2017,4,3,1900,-0.6
14649,6,#N/A,42.00940903,-76.58866704,6.13,43236,32,30,1018,-0.4,2010,8,3,1934,-0.6
14650,7,#N/A,43.76220596,-76.06726396,6.55,42956,154,24,4004,-0.4,2015,11,3,1997,-0.5
14651,7,#N/A,44.12075301,-75.94194301,5.85,43326,33,19.9,700,-0.4,2011,4,3,1938,-0.5
14652,9,#N/A,42.16673999,-74.68335897,5.91,42907,65,28.1,1885,-0.4,2016,11,3,1995,-0.6
14653,5,#N/A,42.01585503,-79.60901404,4.96,43262,69,24.6,1794,-0.4,2013,5,3,1978,-0.5
14654,7,#N/A,43.74783902,-76.06587304,5.94,43348,152,30,5300,-0.4,2015,4,3,1961,-0.5
14655,6,#N/A,42.28419197,-77.08450603,4.93,43383,26,24.2,658,-0.4,2016,8,2,1981,-0.7
14656,7,#N/A,44.31494601,-75.26972695,4.96,43452,140,25.2,3752,-0.4,2015,11,3,1981,-0.5
14657,7,#N/A,43.54954703,-75.39858094,7,42872,110,25.4,3124,-0.4,2015,6,6,2007,-0.7
14658,8,#N/A,41.99768204,-74.04276604,4.98,42605,94,24,2632,-0.4,2016,4,3,1970,-0.4
14659,4,#N/A,43.201516,-77.02478597,2.34,43229,22,20.7,550,-0.4,2017,9,19,1899,-0.6
14660,6,#N/A,42.32389199,-77.40432498,6.88,43348,68,26.8,1918,-0.4,2010,6,6,2002,-0.5
